Entity,Code,Year,Women,Men
Albania,ALB,1987,273.96573,402.99805
Albania,ALB,1988,275.69785,406.5019
Albania,ALB,1989,271.73746,427.38464
Albania,ALB,1992,232.0761,363.07434
Albania,ALB,1993,206.26067,340.29434
Albania,ALB,1994,182.93806,309.22446
Albania,ALB,1995,231.59773,368.35693
Albania,ALB,1996,243.8248,411.38275
Albania,ALB,1997,216.50345,372.954
Albania,ALB,1998,250.99474,403.45233
Albania,ALB,1999,232.59615,367.89117
Albania,ALB,2000,287.2155,427.62924
Albania,ALB,2001,224.33714,340.02942
Albania,ALB,2002,247.8395,361.15854
Albania,ALB,2003,274.64017,392.86835
Albania,ALB,2004,264.42883,368.04852
Albania,ALB,2005,248.16145,350.46826
Albania,ALB,2006,243.16812,325.50446
Albania,ALB,2007,205.6057,278.8211
Albania,ALB,2008,237.88066,326.56543
Albania,ALB,2009,232.66354,299.8986
Albania,ALB,2010,163.3574,207.67834
Antigua and Barbuda,ATG,1961,455.53223,273.22678
Antigua and Barbuda,ATG,1962,367.9119,398.6354
Antigua and Barbuda,ATG,1963,380.05695,476.01093
Antigua and Barbuda,ATG,1964,325.9584,391.3423
Antigua and Barbuda,ATG,1966,419.90118,558.9121
Antigua and Barbuda,ATG,1969,286.02832,389.96832
Antigua and Barbuda,ATG,1970,967.3217,459.56973
Antigua and Barbuda,ATG,1971,875.4118,466.01096
Antigua and Barbuda,ATG,1972,955.7209,460.72192
Antigua and Barbuda,ATG,1973,1013.437,423.82065
Antigua and Barbuda,ATG,1974,1152.0278,473.8061
Antigua and Barbuda,ATG,1975,1034.0015,507.8852
Antigua and Barbuda,ATG,1976,1169.9032,532.798
Antigua and Barbuda,ATG,1977,988.03564,480.38174
Antigua and Barbuda,ATG,1978,662.57654,372.63715
Antigua and Barbuda,ATG,1983,225.8628,317.27478
Antigua and Barbuda,ATG,1985,389.97748,301.8272
Antigua and Barbuda,ATG,1986,335.34055,299.37088
Antigua and Barbuda,ATG,1987,324.39215,364.99756
Antigua and Barbuda,ATG,1988,396.39154,362.63486
Antigua and Barbuda,ATG,1989,257.8051,287.5858
Antigua and Barbuda,ATG,1990,329.10248,292.73486
Antigua and Barbuda,ATG,1991,287.2861,256.24222
Antigua and Barbuda,ATG,1992,313.6855,313.67563
Antigua and Barbuda,ATG,1993,281.92633,320.13495
Antigua and Barbuda,ATG,1994,277.62793,256.9197
Antigua and Barbuda,ATG,1995,231.16093,314.35593
Antigua and Barbuda,ATG,1998,260.52017,308.20624
Antigua and Barbuda,ATG,1999,267.15445,329.6312
Antigua and Barbuda,ATG,2000,204.95485,224.28146
Antigua and Barbuda,ATG,2001,198.29494,281.7982
Antigua and Barbuda,ATG,2002,207.10359,227.21768
Antigua and Barbuda,ATG,2003,229.06041,291.9268
Antigua and Barbuda,ATG,2004,230.48505,249.34894
Antigua and Barbuda,ATG,2005,237.58766,276.40253
Antigua and Barbuda,ATG,2006,210.39671,234.99274
Antigua and Barbuda,ATG,2007,158.02007,248.10019
Antigua and Barbuda,ATG,2008,195.51006,251.05199
Antigua and Barbuda,ATG,2009,151.9749,161.17514
Antigua and Barbuda,ATG,2010,115.176926,136.6042
Antigua and Barbuda,ATG,2011,131.34244,200.32854
Antigua and Barbuda,ATG,2012,162.89537,205.91049
Antigua and Barbuda,ATG,2013,145.61867,216.17043
Antigua and Barbuda,ATG,2014,193.49104,246.76784
Antigua and Barbuda,ATG,2015,154.88448,211.75322
Antigua and Barbuda,ATG,2016,154.07213,200.86128
Antigua and Barbuda,ATG,2017,169.90738,217.02272
Antigua and Barbuda,ATG,2018,183.93434,189.10605
Antigua and Barbuda,ATG,2019,174.92477,265.77975
Antigua and Barbuda,ATG,2020,182.60507,211.51964
Antigua and Barbuda,ATG,2021,147.85825,169.39102
Argentina,ARG,1966,276.43372,397.57666
Argentina,ARG,1967,299.72818,461.9303
Argentina,ARG,1968,316.65363,484.01605
Argentina,ARG,1969,340.11908,524.92535
Argentina,ARG,1970,326.27405,526.7485
Argentina,ARG,1977,332.73926,486.33136
Argentina,ARG,1978,328.2721,481.53027
Argentina,ARG,1979,347.46222,494.76974
Argentina,ARG,1980,318.7226,496.0759
Argentina,ARG,1981,325.33414,484.2572
Argentina,ARG,1982,307.24094,440.21838
Argentina,ARG,1983,335.6134,476.7832
Argentina,ARG,1984,334.3554,501.07407
Argentina,ARG,1985,314.4829,457.35727
Argentina,ARG,1986,311.51215,456.2256
Argentina,ARG,1987,312.61514,456.5932
Argentina,ARG,1988,286.79208,432.8544
Argentina,ARG,1989,273.49594,423.58636
Argentina,ARG,1990,279.414,429.00543
Argentina,ARG,1991,261.87885,420.36472
Argentina,ARG,1992,266.2793,423.70096
Argentina,ARG,1993,258.04166,419.45694
Argentina,ARG,1994,230.47096,378.68057
Argentina,ARG,1995,239.32845,392.46393
Argentina,ARG,1996,220.73308,376.53223
Argentina,ARG,1997,175.40413,304.05902
Argentina,ARG,1998,178.94583,310.072
Argentina,ARG,1999,181.05682,312.44916
Argentina,ARG,2000,163.28285,289.14224
Argentina,ARG,2001,163.46442,283.62863
Argentina,ARG,2002,158.52849,282.54486
Argentina,ARG,2003,156.36505,274.175
Argentina,ARG,2004,147.64626,256.77982
Argentina,ARG,2005,142.67303,248.30032
Argentina,ARG,2006,139.14098,240.20613
Argentina,ARG,2007,143.95923,245.41522
Argentina,ARG,2008,134.00908,226.70938
Argentina,ARG,2009,130.11464,222.65613
Argentina,ARG,2010,138.89333,234.69675
Argentina,ARG,2011,134.37285,225.55682
Argentina,ARG,2012,128.43506,221.75014
Argentina,ARG,2013,122.817505,213.04083
Argentina,ARG,2014,118.68244,204.37009
Argentina,ARG,2015,121.82239,210.91074
Argentina,ARG,2016,125.727,217.86742
Argentina,ARG,2017,117.333725,204.9382
Argentina,ARG,2018,113.89427,199.60269
Argentina,ARG,2019,113.79069,197.87709
Argentina,ARG,2020,110.21322,194.08667
Argentina,ARG,2021,121.68376,207.32399
Argentina,ARG,2022,123.54667,207.2421
Armenia,ARM,1981,284.89124,381.0609
Armenia,ARM,1982,322.3586,420.41794
Armenia,ARM,1985,350.00763,433.54248
Armenia,ARM,1986,340.60593,438.05997
Armenia,ARM,1987,347.52432,443.06274
Armenia,ARM,1988,345.6939,476.44833
Armenia,ARM,1989,373.0354,487.5673
Armenia,ARM,1990,363.6822,506.65897
Armenia,ARM,1991,362.5641,498.7415
Armenia,ARM,1992,391.0401,530.9384
Armenia,ARM,1993,416.28052,558.9595
Armenia,ARM,1994,356.74945,477.14627
Armenia,ARM,1995,362.3336,491.22607
Armenia,ARM,1996,355.83194,464.2031
Armenia,ARM,1997,329.77567,430.41852
Armenia,ARM,1998,305.8447,401.0351
Armenia,ARM,1999,318.69455,400.67285
Armenia,ARM,2000,293.91476,375.6393
Armenia,ARM,2001,289.44568,379.19113
Armenia,ARM,2002,395.37616,546.55444
Armenia,ARM,2003,393.2855,559.05237
Armenia,ARM,2006,303.37076,439.26477
Armenia,ARM,2007,291.85696,435.34357
Armenia,ARM,2008,335.82126,489.9422
Armenia,ARM,2009,289.60364,424.42273
Armenia,ARM,2010,280.5578,424.0931
Armenia,ARM,2011,261.8736,402.78647
Armenia,ARM,2012,262.9061,396.13113
Armenia,ARM,2013,252.16866,376.78342
Armenia,ARM,2014,256.0281,384.19034
Armenia,ARM,2015,242.90456,365.18976
Armenia,ARM,2016,252.20251,375.915
Armenia,ARM,2017,276.62274,411.07794
Armenia,ARM,2018,256.1281,382.95636
Armenia,ARM,2019,249.11285,379.1187
Armenia,ARM,2020,299.264,484.96985
Armenia,ARM,2021,284.05283,449.69064
Armenia,ARM,2022,239.2008,379.1642
Armenia,ARM,2023,190.9986,314.10687
Australia,AUS,1950,424.03558,570.29987
Australia,AUS,1951,437.30386,597.7506
Australia,AUS,1952,439.38727,603.5675
Australia,AUS,1953,420.54877,585.5156
Australia,AUS,1954,423.56915,591.32056
Australia,AUS,1955,410.53717,587.4393
Australia,AUS,1956,424.90985,610.7244
Australia,AUS,1957,402.0213,573.9134
Australia,AUS,1958,392.4808,572.09564
Australia,AUS,1959,403.14157,595.0487
Australia,AUS,1960,399.29675,594.2092
Australia,AUS,1961,383.19287,583.75073
Australia,AUS,1962,394.5189,603.26764
Australia,AUS,1963,393.42413,605.0744
Australia,AUS,1964,408.161,626.53754
Australia,AUS,1965,396.31442,616.29724
Australia,AUS,1966,404.29977,625.25977
Australia,AUS,1967,380.44504,606.1744
Australia,AUS,1968,408.19785,646.6758
Australia,AUS,1969,382.0413,610.7933
Australia,AUS,1970,397.03696,621.6715
Australia,AUS,1971,386.75107,601.6822
Australia,AUS,1972,369.14706,591.56384
Australia,AUS,1973,364.526,581.0181
Australia,AUS,1974,376.16992,596.6964
Australia,AUS,1975,328.91684,525.91486
Australia,AUS,1976,323.5232,534.0039
Australia,AUS,1977,308.48737,492.67224
Australia,AUS,1978,295.52563,473.23505
Australia,AUS,1979,276.50586,452.72098
Australia,AUS,1980,268.33774,442.65707
Australia,AUS,1981,256.79037,430.05914
Australia,AUS,1982,256.98685,424.68484
Australia,AUS,1983,239.63573,393.81854
Australia,AUS,1984,238.00064,389.03885
Australia,AUS,1985,237.54996,379.4526
Australia,AUS,1986,217.30507,349.4216
Australia,AUS,1987,212.75977,343.9866
Australia,AUS,1988,202.0921,324.90854
Australia,AUS,1989,207.10155,327.85602
Australia,AUS,1990,189.91142,298.8737
Australia,AUS,1991,179.10622,285.02716
Australia,AUS,1992,181.37534,280.18906
Australia,AUS,1993,167.94678,265.11215
Australia,AUS,1994,168.7959,265.7826
Australia,AUS,1995,156.47643,246.41054
Australia,AUS,1996,152.32422,242.44403
Australia,AUS,1997,144.43192,226.69458
Australia,AUS,1998,138.57683,215.75647
Australia,AUS,1999,131.58444,204.86896
Australia,AUS,2000,124.29345,188.93274
Australia,AUS,2001,118.10901,181.26419
Australia,AUS,2002,114.38293,175.38538
Australia,AUS,2003,107.99217,165.28474
Australia,AUS,2004,103.013985,159.19522
Australia,AUS,2006,96.6429,145.33763
Australia,AUS,2007,92.4454,137.66537
Australia,AUS,2008,93.393845,136.25537
Australia,AUS,2009,84.812454,126.4596
Australia,AUS,2010,81.39291,119.66932
Australia,AUS,2011,78.62487,118.47056
Australia,AUS,2012,74.124245,109.68042
Australia,AUS,2013,70.60401,106.53303
Australia,AUS,2014,71.77388,105.84206
Australia,AUS,2015,70.3499,104.55014
Australia,AUS,2016,65.645546,99.9813
Australia,AUS,2017,64.11745,95.69289
Australia,AUS,2018,60.172585,91.25226
Australia,AUS,2019,60.57127,93.47459
Australia,AUS,2020,54.87069,84.85877
Australia,AUS,2021,56.18657,86.28537
Australia,AUS,2022,57.372746,88.991
Australia,AUS,2023,53.14437,81.55313
Austria,AUT,1955,372.06522,462.1317
Austria,AUT,1956,389.622,486.9183
Austria,AUT,1957,399.57516,505.017
Austria,AUT,1958,371.50418,481.07565
Austria,AUT,1959,362.51895,470.28357
Austria,AUT,1960,362.0471,488.77
Austria,AUT,1961,349.05963,470.41254
Austria,AUT,1962,356.484,492.08167
Austria,AUT,1963,333.62064,468.3117
Austria,AUT,1964,320.6101,453.03223
Austria,AUT,1965,340.6765,477.21283
Austria,AUT,1966,330.06253,458.00037
Austria,AUT,1967,354.10165,488.49088
Austria,AUT,1968,348.96002,489.9833
Austria,AUT,1969,358.90042,505.23508
Austria,AUT,1970,354.07602,513.46423
Austria,AUT,1971,359.12048,508.1933
Austria,AUT,1972,348.06113,502.1023
Austria,AUT,1973,329.96564,476.94742
Austria,AUT,1974,328.79468,494.9425
Austria,AUT,1975,336.3065,502.79163
Austria,AUT,1976,338.49472,497.58694
Austria,AUT,1977,324.2364,480.7042
Austria,AUT,1978,331.15875,497.2387
Austria,AUT,1979,311.62,472.9004
Austria,AUT,1980,321.60318,479.33243
Austria,AUT,1981,312.33893,485.56534
Austria,AUT,1982,303.53226,472.45563
Austria,AUT,1983,310.5605,484.72253
Austria,AUT,1984,286.6977,449.2996
Austria,AUT,1985,288.60474,448.32513
Austria,AUT,1986,279.45428,428.88974
Austria,AUT,1987,263.5717,408.64648
Austria,AUT,1988,254.47307,398.4427
Austria,AUT,1989,245.78683,390.6499
Austria,AUT,1990,237.55305,371.8744
Austria,AUT,1991,244.86963,372.2306
Austria,AUT,1992,237.63269,372.63757
Austria,AUT,1993,234.6267,364.99997
Austria,AUT,1994,224.81123,351.8405
Austria,AUT,1995,223.13988,352.40247
Austria,AUT,1996,224.16943,348.49628
Austria,AUT,1997,213.09491,346.32608
Austria,AUT,1998,210.67516,333.78986
Austria,AUT,1999,207.8638,318.8432
Austria,AUT,2000,192.62488,295.95987
Austria,AUT,2001,182.82121,277.18674
Austria,AUT,2002,173.84375,258.92615
Austria,AUT,2003,166.49591,237.12086
Austria,AUT,2004,150.68521,219.88176
Austria,AUT,2005,146.29898,212.54565
Austria,AUT,2006,138.78731,206.06502
Austria,AUT,2007,133.72316,201.4975
Austria,AUT,2008,127.55998,189.9579
Austria,AUT,2009,127.47302,190.40768
Austria,AUT,2010,122.82933,185.98067
Austria,AUT,2011,115.288216,177.53455
Austria,AUT,2012,120.32414,174.15564
Austria,AUT,2013,117.51778,174.2873
Austria,AUT,2014,111.20932,164.34795
Austria,AUT,2015,116.85943,171.00146
Austria,AUT,2016,107.5721,158.64879
Austria,AUT,2017,106.3595,152.10352
Austria,AUT,2018,102.886696,151.06416
Austria,AUT,2019,98.98272,146.6811
Austria,AUT,2020,98.20209,146.33446
Austria,AUT,2021,93.89875,139.22493
Austria,AUT,2022,91.19108,134.71179
Austria,AUT,2023,86.37747,129.69046
Azerbaijan,AZE,1981,358.10748,553.0248
Azerbaijan,AZE,1982,359.87592,560.12286
Azerbaijan,AZE,1985,382.8678,584.63837
Azerbaijan,AZE,1986,375.71463,563.7466
Azerbaijan,AZE,1987,389.6368,604.512
Azerbaijan,AZE,1988,410.04355,624.8896
Azerbaijan,AZE,1989,359.56308,550.2197
Azerbaijan,AZE,1990,349.22885,549.7654
Azerbaijan,AZE,1991,353.78018,590.21326
Azerbaijan,AZE,1992,385.26978,580.6471
Azerbaijan,AZE,1993,399.9383,626.8972
Azerbaijan,AZE,1994,387.87463,613.24115
Azerbaijan,AZE,1995,398.26535,625.5333
Azerbaijan,AZE,1996,380.04874,587.9189
Azerbaijan,AZE,1997,367.66965,573.16724
Azerbaijan,AZE,1998,366.91476,577.4953
Azerbaijan,AZE,1999,379.796,586.42993
Azerbaijan,AZE,2000,423.1002,584.2761
Azerbaijan,AZE,2001,395.55685,532.5849
Azerbaijan,AZE,2002,403.68515,550.7866
Azerbaijan,AZE,2003,420.4526,557.32025
Azerbaijan,AZE,2004,412.40884,544.5608
Azerbaijan,AZE,2007,366.30167,470.54553
Bahamas,BHS,1972,302.8973,426.23746
Bahamas,BHS,1975,229.77512,286.08453
Bahamas,BHS,1979,217.313,310.44104
Bahamas,BHS,1980,275.85693,446.77625
Bahamas,BHS,1981,225.91861,415.65332
Bahamas,BHS,1983,172.07828,250.01978
Bahamas,BHS,1984,161.50912,245.55685
Bahamas,BHS,1985,238.30731,292.0551
Bahamas,BHS,1987,215.18881,270.60934
Bahamas,BHS,1993,212.93268,261.11163
Bahamas,BHS,1994,218.91985,226.47946
Bahamas,BHS,1995,240.65582,263.89035
Bahamas,BHS,1996,175.88107,266.072
Bahamas,BHS,1997,231.5396,296.22903
Bahamas,BHS,1998,216.29343,272.8254
Bahamas,BHS,1999,189.20328,254.68745
Bahamas,BHS,2000,195.49689,253.59343
Bahamas,BHS,2001,203.41704,267.66528
Bahamas,BHS,2002,238.21725,258.82495
Bahamas,BHS,2003,179.71913,240.60643
Bahamas,BHS,2004,207.11302,274.0887
Bahamas,BHS,2005,212.09499,273.89456
Bahamas,BHS,2006,175.97214,241.38652
Bahamas,BHS,2007,177.69145,247.2067
Bahamas,BHS,2008,195.77565,263.05972
Bahamas,BHS,2009,216.95432,281.57104
Bahamas,BHS,2010,208.94185,288.69186
Bahamas,BHS,2011,216.90088,273.0261
Bahamas,BHS,2012,180.49742,232.09625
Bahamas,BHS,2013,162.35248,241.9926
Bahamas,BHS,2014,192.03174,239.14357
Bahamas,BHS,2015,207.34378,247.68233
Bahamas,BHS,2016,187.74835,278.5313
Bahrain,BHR,1985,209.74655,321.265
Bahrain,BHR,1987,261.44568,363.43466
Bahrain,BHR,1988,328.24344,370.57547
Bahrain,BHR,1997,274.03903,287.46982
Bahrain,BHR,1998,205.27162,254.39558
Bahrain,BHR,1999,220.17226,241.91595
Bahrain,BHR,2000,209.79317,223.68648
Bahrain,BHR,2001,186.73752,229.94019
Bahrain,BHR,2002,186.4592,235.48001
Bahrain,BHR,2003,242.79787,251.4244
Bahrain,BHR,2004,219.24606,213.95502
Bahrain,BHR,2005,141.39755,162.2882
Bahrain,BHR,2006,135.46204,146.23752
Bahrain,BHR,2007,114.024376,156.91476
Bahrain,BHR,2008,128.07852,141.01645
Bahrain,BHR,2009,114.82044,139.50473
Bahrain,BHR,2010,148.38893,178.74675
Bahrain,BHR,2011,154.46552,176.42155
Bahrain,BHR,2012,154.11185,176.2794
Bahrain,BHR,2013,142.92685,166.31601
Bahrain,BHR,2014,105.085266,129.78589
Barbados,BRB,1960,358.4779,488.79913
Barbados,BRB,1961,463.55896,667.6297
Barbados,BRB,1962,388.9371,603.84735
Barbados,BRB,1963,399.73328,483.72195
Barbados,BRB,1964,385.05756,531.2241
Barbados,BRB,1966,330.31882,542.9975
Barbados,BRB,1967,343.54056,477.3666
Barbados,BRB,1968,317.3449,522.44464
Barbados,BRB,1969,336.8291,449.09387
Barbados,BRB,1970,337.87033,474.89658
Barbados,BRB,1971,369.0397,504.91614
Barbados,BRB,1972,382.76724,483.11203
Barbados,BRB,1973,356.48044,466.8988
Barbados,BRB,1974,346.31253,548.3629
Barbados,BRB,1975,379.4506,551.5619
Barbados,BRB,1976,370.63492,472.9634
Barbados,BRB,1977,341.41663,386.86353
Barbados,BRB,1978,338.42648,364.48654
Barbados,BRB,1979,313.11426,501.53232
Barbados,BRB,1980,325.8742,416.14023
Barbados,BRB,1981,287.22894,386.55725
Barbados,BRB,1982,232.59274,354.9408
Barbados,BRB,1983,245.89542,370.98312
Barbados,BRB,1984,250.23486,360.77988
Barbados,BRB,1985,274.09546,368.87927
Barbados,BRB,1986,226.24026,367.45602
Barbados,BRB,1987,242.04263,319.32996
Barbados,BRB,1988,224.77113,348.86542
Barbados,BRB,1989,245.43352,301.53055
Barbados,BRB,1990,211.10298,310.10504
Barbados,BRB,1991,210.37215,270.2334
Barbados,BRB,1992,214.51765,301.95734
Barbados,BRB,1993,216.31477,289.7793
Barbados,BRB,1994,212.0849,306.05234
Barbados,BRB,1995,202.13823,313.65063
Barbados,BRB,2000,162.6234,227.20267
Barbados,BRB,2001,111.17574,137.54393
Barbados,BRB,2002,140.11746,167.77939
Barbados,BRB,2003,149.49527,223.36754
Barbados,BRB,2004,126.94389,160.63254
Barbados,BRB,2005,130.13023,151.47508
Barbados,BRB,2006,124.46825,164.32991
Barbados,BRB,2007,120.778145,185.64288
Barbados,BRB,2008,121.77074,187.67142
Barbados,BRB,2009,114.97794,175.44388
Barbados,BRB,2010,103.653984,154.66298
Barbados,BRB,2011,109.53012,163.39908
Barbados,BRB,2012,109.258545,143.01582
Barbados,BRB,2013,116.696236,160.29697
Belarus,BLR,1981,359.39554,555.84875
Belarus,BLR,1982,362.8684,554.39294
Belarus,BLR,1985,414.88428,625.78876
Belarus,BLR,1986,379.8558,562.2311
Belarus,BLR,1987,386.79535,577.5919
Belarus,BLR,1988,384.39047,570.6688
Belarus,BLR,1989,353.1026,544.6005
Belarus,BLR,1990,334.13074,534.4841
Belarus,BLR,1991,325.07278,545.453
Belarus,BLR,1992,320.84384,538.37854
Belarus,BLR,1993,359.87708,618.4661
Belarus,BLR,1994,360.25336,624.0254
Belarus,BLR,1995,358.1885,653.2482
Belarus,BLR,1996,443.19275,628.3401
Belarus,BLR,1997,366.63126,672.2642
Belarus,BLR,1998,375.791,689.09283
Belarus,BLR,1999,404.05005,718.80023
Belarus,BLR,2000,382.3306,682.5811
Belarus,BLR,2001,398.94547,722.2871
Belarus,BLR,2002,399.1794,753.51025
Belarus,BLR,2003,386.89212,751.16376
Belarus,BLR,2007,321.32944,655.6958
Belarus,BLR,2008,313.78607,662.5972
Belarus,BLR,2009,321.22073,676.86053
Belarus,BLR,2010,319.9308,684.2302
Belarus,BLR,2011,297.39636,659.81036
Belarus,BLR,2013,276.43213,592.60455
Belarus,BLR,2014,277.19217,592.8144
Belarus,BLR,2018,263.1774,557.85205
Belgium,BEL,1954,310.66162,419.0741
Belgium,BEL,1955,310.7909,425.71332
Belgium,BEL,1956,311.19495,429.789
Belgium,BEL,1957,299.2227,413.1217
Belgium,BEL,1958,292.28177,414.4847
Belgium,BEL,1959,284.8625,410.03622
Belgium,BEL,1960,307.7976,440.57797
Belgium,BEL,1961,293.63712,429.24338
Belgium,BEL,1962,336.11493,481.54337
Belgium,BEL,1963,354.88647,507.12106
Belgium,BEL,1964,319.5014,470.28485
Belgium,BEL,1965,335.70584,495.12323
Belgium,BEL,1966,316.56686,466.9157
Belgium,BEL,1967,318.44138,481.50076
Belgium,BEL,1968,332.4453,501.3951
Belgium,BEL,1969,307.28873,474.03998
Belgium,BEL,1970,302.00473,461.1475
Belgium,BEL,1971,295.13913,466.2725
Belgium,BEL,1972,282.06348,454.56503
Belgium,BEL,1973,275.53836,440.53412
Belgium,BEL,1974,274.42938,431.9326
Belgium,BEL,1975,273.73532,436.6026
Belgium,BEL,1976,261.4884,429.63272
Belgium,BEL,1977,244.60826,394.95398
Belgium,BEL,1978,247.50156,390.15387
Belgium,BEL,1979,241.22765,387.4637
Belgium,BEL,1980,246.05745,394.63168
Belgium,BEL,1981,243.75317,391.89005
Belgium,BEL,1982,239.89044,381.31534
Belgium,BEL,1983,239.93916,382.34222
Belgium,BEL,1984,222.24243,361.24066
Belgium,BEL,1985,212.05223,347.37762
Belgium,BEL,1986,204.41124,325.8481
Belgium,BEL,1987,191.14261,300.0263
Belgium,BEL,1988,181.4544,290.02783
Belgium,BEL,1989,177.43304,283.92545
Belgium,BEL,1990,168.48068,272.98764
Belgium,BEL,1991,164.31104,261.7174
Belgium,BEL,1992,157.2301,258.01334
Belgium,BEL,1993,163.69455,263.5513
Belgium,BEL,1994,155.72801,247.56477
Belgium,BEL,1995,151.9409,245.24977
Belgium,BEL,1996,148.43213,243.38782
Belgium,BEL,1997,144.83029,232.6442
Belgium,BEL,1998,141.91245,223.88914
Belgium,BEL,1999,138.1803,217.1446
Belgium,BEL,2000,138.29152,219.86847
Belgium,BEL,2001,131.3261,206.99661
Belgium,BEL,2002,132.78296,207.27994
Belgium,BEL,2003,132.36581,202.1969
Belgium,BEL,2004,122.862175,190.74963
Belgium,BEL,2005,117.93249,180.7058
Belgium,BEL,2006,108.38712,166.45728
Belgium,BEL,2007,105.46644,162.55113
Belgium,BEL,2008,101.178566,158.87836
Belgium,BEL,2009,96.24879,152.49907
Belgium,BEL,2010,94.25207,145.98944
Belgium,BEL,2011,87.906364,135.69623
Belgium,BEL,2012,85.81221,133.64926
Belgium,BEL,2013,82.603386,130.31387
Belgium,BEL,2014,78.01868,120.1407
Belgium,BEL,2015,80.20075,121.64115
Belgium,BEL,2016,74.68634,114.73494
Belgium,BEL,2017,72.68923,112.82109
Belgium,BEL,2018,69.5166,105.55068
Belgium,BEL,2019,64.409,96.55432
Belgium,BEL,2020,60.819035,93.79617
Belgium,BEL,2021,61.382675,94.80248
Belize,BLZ,1964,229.11177,221.54431
Belize,BLZ,1965,228.129,239.6305
Belize,BLZ,1966,165.13243,170.38846
Belize,BLZ,1967,215.29092,239.89732
Belize,BLZ,1968,188.50931,233.1557
Belize,BLZ,1969,188.825,165.38638
Belize,BLZ,1970,215.87698,251.01309
Belize,BLZ,1971,148.46912,189.67947
Belize,BLZ,1972,156.14993,204.2161
Belize,BLZ,1973,208.28352,180.5798
Belize,BLZ,1974,197.42378,207.18106
Belize,BLZ,1975,185.04134,210.58144
Belize,BLZ,1976,200.21892,232.81201
Belize,BLZ,1977,172.05887,152.82414
Belize,BLZ,1978,181.89902,230.249
Belize,BLZ,1979,219.0562,207.25029
Belize,BLZ,1980,267.84598,364.565
Belize,BLZ,1982,293.58826,311.8382
Belize,BLZ,1983,279.2142,223.30403
Belize,BLZ,1984,240.72694,351.5008
Belize,BLZ,1986,162.62114,183.70187
Belize,BLZ,1987,177.28874,183.8263
Belize,BLZ,1989,201.1485,271.37845
Belize,BLZ,1990,227.80624,164.211
Belize,BLZ,1991,188.73509,262.7719
Belize,BLZ,1993,227.81802,251.54706
Belize,BLZ,1994,204.78247,235.50162
Belize,BLZ,1995,205.87343,253.76506
Belize,BLZ,1996,188.91252,233.76497
Belize,BLZ,1997,245.81938,258.05344
Belize,BLZ,1998,261.10373,297.76886
Belize,BLZ,1999,217.52586,284.44574
Belize,BLZ,2000,452.12296,596.5438
Belize,BLZ,2001,218.8519,246.50908
Belize,BLZ,2002,201.16594,279.47223
Belize,BLZ,2003,241.02005,282.6569
Belize,BLZ,2004,224.28899,279.8017
Belize,BLZ,2005,242.12311,274.509
Belize,BLZ,2006,246.81212,245.22542
Belize,BLZ,2007,229.23734,234.17894
Belize,BLZ,2008,190.78767,202.12129
Belize,BLZ,2009,214.53387,242.2041
Belize,BLZ,2010,172.88078,224.13493
Belize,BLZ,2011,192.45934,181.4211
Belize,BLZ,2012,164.75438,197.9313
Belize,BLZ,2013,164.30399,167.3511
Belize,BLZ,2014,161.88275,183.89198
Belize,BLZ,2015,168.78801,186.73128
Belize,BLZ,2016,155.52328,188.49098
Belize,BLZ,2017,157.93225,173.29704
Belize,BLZ,2018,162.11172,187.845
Belize,BLZ,2019,166.63611,201.92358
Belize,BLZ,2020,116.0074,115.73058
Belize,BLZ,2021,151.37479,221.8043
Belize,BLZ,2022,137.296,183.82266
Bosnia and Herzegovina,BIH,1985,325.49536,369.8545
Bosnia and Herzegovina,BIH,1986,318.35294,389.72787
Bosnia and Herzegovina,BIH,1987,360.5321,434.69766
Bosnia and Herzegovina,BIH,1988,372.94327,464.71573
Bosnia and Herzegovina,BIH,1989,396.14038,470.1513
Bosnia and Herzegovina,BIH,1990,367.26532,462.67078
Bosnia and Herzegovina,BIH,1991,367.28293,446.03375
Bosnia and Herzegovina,BIH,2011,289.0614,357.77176
Bosnia and Herzegovina,BIH,2014,246.8843,318.7593
Bosnia and Herzegovina,BIH,2016,287.62747,379.2986
Bosnia and Herzegovina,BIH,2017,264.48285,340.46722
Bosnia and Herzegovina,BIH,2018,258.42374,325.31616
Bosnia and Herzegovina,BIH,2019,219.90631,288.4135
Bosnia and Herzegovina,BIH,2020,233.88846,305.7429
Bosnia and Herzegovina,BIH,2021,194.07426,309.89993
Bosnia and Herzegovina,BIH,2022,193.36899,261.3506
Bosnia and Herzegovina,BIH,2023,168.6389,226.57948
Brazil,BRA,1979,267.35614,317.9957
Brazil,BRA,1980,278.888,331.46667
Brazil,BRA,1981,278.05447,330.6287
Brazil,BRA,1982,268.4028,326.7331
Brazil,BRA,1983,256.2491,313.46277
Brazil,BRA,1984,260.27954,319.9521
Brazil,BRA,1985,262.1045,320.39825
Brazil,BRA,1986,245.24338,321.59702
Brazil,BRA,1987,256.0495,339.5013
Brazil,BRA,1988,264.9406,357.1751
Brazil,BRA,1989,251.54198,340.29504
Brazil,BRA,1990,249.02014,335.2616
Brazil,BRA,1991,229.67981,311.3534
Brazil,BRA,1992,226.9915,310.9152
Brazil,BRA,1993,231.4695,316.77783
Brazil,BRA,1994,224.97598,307.39822
Brazil,BRA,1995,220.85332,294.595
Brazil,BRA,1996,215.791,289.8483
